sample_id;city;site_id;time;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket ;population_density;population_density_index;mean_wind_speed;wind_speed_mean_(km/h)_1;wind_speed_mean_(km/h)_2;wind_speed_mean_(km/h)_3;mean_temperature;temperature_(°C)_1;temperature_(°C)_2;temperature_(°C)_3;mean_relative_humidity;relative_humidity_(%)_1;relative_humidity_(%)_2;relative_humidity_(%)_3;time_beginning;time_end;date;latitude;longitude;bacterial_load;log_bacterial_load;fungal_load;log_fungal_load;control
22-S-QC-Q11;Québec;Q11;Spring;106368;4;0.500111664;3;2620.326983;1;7.13;7;7.1;7.3;13.7;12.3;14.1;14.8;45.9;50.1;45.4;42.3;8:24:00;9:24:00;2022-05-19;46.88521;-71.25702;2.87E+05;5.46E+00;0;#NOMBRE!;FALSE
22-S-QC-Q12;Québec;Q12;Spring;91904;3;0.503791808;3;3422.467896;2;6.33;2.7;3.6;12.7;18.8;19;18.7;18.7;24;23.2;25.8;22.9;14:13:00;15:13:00;2022-05-18;46.85193;-71.26834;2.25E+05;5.35E+00;0;#NOMBRE!;FALSE
22-S-QC-Q13;Québec;Q13;Spring;49472;2;0.553525477;3;1774.895925;1;7.47;6.6;8.1;7.7;18.9;19.6;18.4;18.7;22.3;22.8;22.6;21.5;15:42:00;16:42:00;2022-05-18;46.86834;-71.28834;2.46E+05;5.39E+00;0;#NOMBRE!;FALSE
22-S-QC-Q14b;Québec;Q14;Spring;109312;4;0.485762704;3;3320.608733;2;4.7;5.4;2.8;5.9;18.8;19.4;19.1;17.9;22.3;21.8;22.7;22.4;17:16:00;18:16:00;2022-05-18;46.8801;-71.3335;1.58E+05;5.20E+00;1.25E-21;-20.90401167;FALSE
22-S-QC-Q15;Québec;Q15;Spring;77077;3;0.544256723;3;2601.22839;1;4.17;5.9;2.4;4.2;25.2;24;26.2;25.3;41.5;43.6;38.5;42.4;12:01:00;13:01:00;2022-05-14;46.83728;-71.33496;2.46E+06;6.39E+00;6.49E-20;-19.18800699;FALSE
22-S-QC-Q16;Québec;Q16;Spring;67328;2;0.324713139;2;1124.270518;1;6.67;7.6;5.7;6.7;16.5;16.9;16.7;16;29.7;30.1;28.1;30.8;11:56:00;12:56:00;2022-05-18;46.82437;-71.2706;1.33E+05;5.12E+00;4.151396298;0.618194194;FALSE
22-S-QC-Q17;Québec;Q17;Spring;37305;1;0.268323421;2;4703.346878;2;6.73;3;10.5;6.7;16.9;17.8;16.9;16;30.8;31.3;30.4;30.8;10:30:00;11:30:00;2022-05-18;46.81736;-71.25691;3.52E+05;5.55E+00;2.53E-08;-7.596507141;FALSE
22-S-QC-Q18;Québec;Q18;Spring;54963;2;0.174525783;1;2922.084755;1;1.63;2.1;2;0.8;30.5;33.9;29.4;28.1;19.6;22.1;16.1;20.6;16:58:00;17:58:00;2022-05-12;46.81572;-71.21265;9.99E+04;5.00E+00;1.88E-06;-5.725322694;FALSE
22-S-QC-Q19;Québec;Q19;Spring;85760;3;0.431158054;2;6135.741366;3;6.97;8;7.9;5;29.9;30.4;29.5;29.9;16.9;18.8;16.7;15.2;14:57:00;15:57:00;2022-05-12;46.7954;-71.23525;2.75E+05;5.44E+00;0.002035138;-2.691406137;FALSE
22-S-QC-Q20;Québec;Q20;Spring;123136;4;0.48726252;3;1237.588837;1;2.1;2.3;2.7;1.3;26.9;26.7;26.3;27.6;24.2;33.4;19.7;19.4;11:23:00;12:23:00;2022-05-12;46.76675;-71.2631;2.86E+05;5.46E+00;1.27E-12;-11.89572804;FALSE
22-S-QC-Q21;Québec;Q21;Spring;198912;4;0.471508612;3;2583.403036;1;5.57;6.4;2.4;7.9;28.4;28.4;27.8;28.9;20.6;17.6;19.8;24.3;13:08:00;14:08:00;2022-05-12;46.77768;-71.26399;1.48E+06;6.17E+00;1.05E-19;-18.9797299;FALSE
22-S-QC-Q22;Québec;Q22;Spring;60032;2;0.534330787;3;3776.42849;2;4.13;1.9;4.6;5.9;25.8;24.7;25.8;26.9;36.1;41.7;32.8;33.9;8:48:00;9:48:00;2022-05-13;46.75831;-71.3328;8.14E+06;6.91E+00;0;#NOMBRE!;FALSE
22-S-QC-Q23;Québec;Q23;Spring;101632;4;0.532463977;3;1937.870587;1;8.63;8.3;8.8;8.8;31;30.8;31.2;31;29.8;27.8;29.7;31.8;10:20:00;11:20:00;2022-05-13;46.76537;-71.36009;4.08E+06;6.61E+00;0;#NOMBRE!;FALSE
22-S-QC-Q24;Québec;Q24;Spring;162645;4;0.393283659;2;1636.112815;1;7.9;8.4;7.5;7.8;32.9;33.2;32.7;32.7;25.7;26.6;26.2;24.2;14:02:00;15:02:00;2022-05-13;46.7462;-71.39018;4.60E+06;6.66E+00;1.50E+05;5.176091259;FALSE
22-S-QC-Q25;Québec;Q25;Spring;158720;4;0.584678286;3;2436.980489;1;5.83;8.1;3;6.4;32.7;32.6;32.7;32.9;23.7;23;24.2;23.9;15:28:00;16:28:00;2022-05-13;46.74005;-71.37469;2.56E+06;6.41E+00;1.47E+05;5.167317335;FALSE
22-E-MTL-02A;Montréal;02A;Summer;109184;4;0.391161217;2;6193.037146;3;4.27;4.8;0;8;24.6;24.8;24.6;24.3;56.1;60;45.7;62.5;9:35:00;10:35:00;2022-06-13;45.60392;-73.54978;1.21E+06;6.08E+00;3.11E+06;6.492760389;FALSE
22-E-MTL-03A;Montréal;03A;Summer;53504;2;0.331179404;2;5984.22586;2;4.37;7.1;3.8;2.2;27.4;25.2;27.8;29.1;34.2;36.5;34.5;31.5;11:14:00;12:14:00;2022-06-13;45.6161;-73.6309;2.52E+06;6.40E+00;1.43E+06;6.155336037;FALSE
22-E-MTL-07A;Montréal;07A;Summer;44160;2;0.290465293;1;13553.63495;5;0.55;1.1;0;NA;25.2;25.2;25.1;NA;42.5;44.4;40.5;NA;16:55:00;17:55:00;2022-06-08;45.54815;-73.608;8.42E+06;6.93E+00;1.11E+06;6.045322979;FALSE
22-E-MTL-08A;Montréal;08A;Summer;32320;1;0.266791681;1;12057.57849;5;6.7;9;5;6.1;27.3;27;28.6;26.2;36;35.5;36.5;36;14:53:00;15:53:00;2022-06-13;45.53071;-73.629;7.34E+05;5.87E+00;9.96E+04;4.998259338;FALSE
22-E-MTL-09B;Montréal;09B;Summer;43648;2;0.390797183;2;7400.068234;3;7.97;7.8;11.7;4.4;29.5;31.8;27.9;28.9;35.6;35;35.7;36.1;12:40:00;13:40:00;2022-06-13;45.56694;-73.65691;1.93E+06;6.29E+00;1.52E+06;6.181843588;FALSE
22-E-MTL-11B;Montréal;11B;Summer;58368;2;0.340797229;2;12959.03209;5;0;0;0;0;21.3;20.9;21.4;21.5;58.2;62.5;56.5;55.5;11:04:00;12:04:00;2022-06-08;45.53339;-73.58411;3.18E+06;6.50E+00;1.32E+06;6.120573931;FALSE
22-E-MTL-12B;Montréal;12B;Summer;20928;1;0.204384316;1;11333.10519;4;4.7;5.5;6.7;1.9;24.6;24.2;25.5;24.2;47.8;46.5;53.5;43.5;14:42:00;15:42:00;2022-06-08;45.5174;-73.5572;2.97E+06;6.47E+00;1.73E+06;6.238046103;FALSE
22-E-MTL-12C;Montréal;12C;Summer;40064;2;0.187735527;1;10864.55304;4;2.9;4.2;0;4.5;21.7;21.1;21.8;22.1;42.9;25;53.5;50.1;13:05:00;14:05:00;2022-06-08;45.5148;-73.5603;1.69E+06;6.23E+00;5.18E+05;5.71432976;FALSE
22-E-MTL-16A;Montréal;16A;Summer;59776;2;0.218252209;1;7855.887991;3;8.6;3.6;9.9;12.3;22.5;22.5;21.7;23.2;54.5;52.7;56.7;54.2;12:33:00;13:33:00;2022-06-10;45.46145;-73.56328;1.86E+06;6.27E+00;2.24E+06;6.350248018;FALSE
22-E-MTL-21B;Montréal;21B;Summer;41600;2;0.379461907;2;9055.279642;3;2.03;4.5;1.6;0;27.2;26.7;28.1;26.8;36.3;37.5;34.5;36.8;16:35:00;17:35:00;2022-06-13;45.48825;-73.64359;1.96E+06;6.29E+00;4.98E+05;5.697229343;FALSE
22-E-MTL-22A;Montréal;22A;Summer;28352;1;0.320003508;2;11830.94185;3;4.07;3.6;4.1;4.5;24;21.6;25.8;24.6;48.2;55.5;42.5;46.5;10:52:00;11:52:00;2022-06-10;45.49038;-73.5713;9.41E+05;5.97E+00;1.23E+07;7.089905111;FALSE
22-E-MTL-23A;Montréal;23A;Summer;87808;3;0.387574385;2;4136.755281;2;5.3;6.9;3.8;5.2;26.2;24.8;26.6;27.1;44.5;48.1;43.5;41.8;11:44:00;12:44:00;2022-06-12;45.50625;-73.72942;5.25E+05;5.72E+00;1.63E+06;6.212187604;FALSE
22-E-SHER-SH01;Sherbrooke;SH01;Summer;76160;3;0.367552972;2;332.3155212;1;3.03;1.9;4.6;2.6;20;20.1;19.4;20.6;59.9;60.2;59.4;60.1;9:32:00;10:32:00;2022-06-02;45.4476387;-71.8706556;6.62E+04;4.82E+00;7.45E+06;6.872156273;FALSE
22-E-SHER-SH02;Sherbrooke;SH02;Summer;89600;3;0.611853689;3;332.3155212;1;3.03;3;2.9;3.2;24.6;23.5;24.8;25.4;31.4;5;44.1;45.1;14:38:00;15:38:00;2022-06-03;45.429919;-71.8962549;6.32E+05;5.80E+00;1.67E+06;6.222716471;FALSE
